source,station,comp,lat,lon,dist,max_amp,max_amp_anti,max_amp_causal,snr,snr_anticausal,snr_causal,noise,noise_anticausal,noise_causal
SVD,NO.B4019,ZZ,34.11611,-117.64833,50.7666229233644,2.0993650308243127e-11,2.0993650308243127e-11,6.447918718650962e-12,8.442207218423112,6.943586906000432,4.098114352301457,2.7244398713597396e-10,2.4707471830561677e-10,1.1480335230622342e-10
SVD,NO.B4020,ZZ,34.11389,-117.64611,50.55789473026995,2.112393466731352e-11,2.112393466731352e-11,5.886934593206392e-12,8.432285355112247,6.84655303426814,3.957898046796962,2.7445709728362263e-10,2.520745384051898e-10,1.0855931713658847e-10
SVD,NO.B4021,ZZ,34.11194,-117.64722,50.657823959675774,2.212446727573468e-11,2.212446727573468e-11,5.2052617908589206e-12,8.938557082062001,7.144125322574017,3.895749503359314,2.711758285108305e-10,2.530373746058727e-10,9.751111229548457e-11
SVD,NO.B4022,ZZ,34.10944,-117.6475,50.681840785958826,2.430508147263008e-11,2.430508147263008e-11,5.90250362144792e-12,8.462294055201685,6.900555391093932,3.3858715461494335,3.1466894410684125e-10,2.878086505134883e-10,1.2721134019779482e-10
SVD,NO.B4023,ZZ,34.10583,-117.64722,50.65606068071183,2.215179759570011e-11,2.215179759570011e-11,8.821360373687992e-12,7.476309441414565,6.124236104856235,4.794405706439693,3.246136920300841e-10,2.9553975826500207e-10,1.3427695386054313e-10
SVD,NO.B4024,ZZ,34.10333,-117.6475,50.68378847939806,2.034414639347592e-11,2.034414639347592e-11,6.849237433714509e-12,8.471842501493626,6.924396594585364,4.644459319587897,2.630913293087999e-10,2.400757701366491e-10,1.0761353144826261e-10
SVD,NO.B4025,ZZ,34.10139,-117.64722,50.66046789960348,1.699405364863494e-11,1.699405364863494e-11,4.575066461143538e-12,8.260447339524779,6.941763164921474,3.2141561401676695,2.253921072433518e-10,2.0002554842625317e-10,1.0388157673223505e-10
SVD,NO.B4027,ZZ,34.09583,-117.64611,50.57033971612768,1.692352272555908e-11,1.692352272555908e-11,7.149363950927098e-12,7.132380217780427,5.9453089890544595,4.492389725669873,2.599570716612773e-10,2.3256374291656686e-10,1.1615414149888696e-10
SVD,NO.B4029,ZZ,34.08917,-117.64722,50.6973060988034,8.749885844649244e-12,8.749885844649244e-12,2.757541962683599e-12,6.419861597786034,5.614461397737966,2.580686471140762,1.4932143589629144e-10,1.2734600378715903e-10,7.797362719260374e-11
SVD,NO.B4030,ZZ,34.08639,-117.64694,50.684928520303096,6.572082334021435e-12,6.572082334021435e-12,2.402334003004913e-12,4.96099172685692,4.597491424139653,2.035024387369339,1.451377193561605e-10,1.1680813772925306e-10,8.614416138155538e-11
SVD,NO.B4031,ZZ,34.08417,-117.64694,50.697007068059364,1.3477243844977017e-11,1.3477243844977017e-11,2.9446926972868742e-12,8.91674533040863,7.208372863185711,3.3639817193419845,1.6559259144344607e-10,1.5277602828176374e-10,6.387794238550406e-11
SVD,NO.B4032,ZZ,34.08139,-117.64722,50.73961483690526,1.4679894296399003e-11,1.4679894296399003e-11,3.437900587419089e-12,8.774409820753771,7.012969075015519,3.8095144585368406,1.8329516870448202e-10,1.710584186568443e-10,6.584934530444707e-11
SVD,NO.B4033,ZZ,34.07889,-117.64667,50.70565393159691,1.6937728541072437e-11,1.6937728541072437e-11,3.673798758852089e-12,8.908315154690644,7.195168949126151,3.3533792544120944,2.0830774470327084e-10,1.923557634328788e-10,7.994608669295462e-11
SVD,NO.B4034,ZZ,34.07611,-117.64778,50.82822956565644,1.703121869064231e-11,1.703121869064231e-11,4.7689536845621355e-12,8.350721366903224,6.840310417261145,3.769063568776327,2.2344391917518416e-10,2.0348232097363943e-10,9.231538369928919e-11
SVD,NO.B4035,ZZ,34.07306,-117.64722,50.80112892855677,1.6663674255129296e-11,1.6663674255129296e-11,4.775247015377564e-12,8.631384766154754,6.920678374584068,4.490236330802481,2.1151261443954367e-10,1.9676443280698042e-10,7.759731985834523e-11
SVD,NO.B4036,ZZ,34.07139,-117.6475,50.84123894073552,1.4438204672881556e-11,1.4438204672881556e-11,1.8868460860167484e-12,8.649556436088577,7.070889275186511,1.8400706534917994,1.8287957961914672e-10,1.6687660590028122e-10,7.481402973291877e-11
SVD,NO.B4037,ZZ,34.06806,-117.64806,50.92333230054562,9.209999576716114e-12,9.209999576716114e-12,2.866448097824061e-12,6.148454669282295,5.529927466900405,2.2811728897752994,1.6411158427213968e-10,1.361220298703356e-10,9.167008823106403e-11
SVD,NO.B4038,ZZ,34.06611,-117.64583,50.73745542770537,1.353960746970783e-11,1.353960746970783e-11,3.1506383963515053e-12,7.892799430643847,6.713551552668241,2.5445112508933034,1.8794061849225478e-10,1.647955277343777e-10,9.035546534659216e-11
SVD,NO.B4039,ZZ,34.06167,-117.64694,50.88654856848827,7.301347275204276e-12,7.301347275204276e-12,3.5564400003222585e-12,4.854549201644037,4.586718567801966,2.5657409865752214,1.647782255660601e-10,1.3009435318888203e-10,1.0113022737572478e-10
SVD,NO.B4040,ZZ,34.05889,-117.64722,50.9441135201888,9.335747497023141e-12,9.335747497023141e-12,2.785018484417079e-12,6.543334300236057,5.878058300730827,2.3330918096526614,1.5631302793971742e-10,1.2980864572171865e-10,8.708316829087133e-11
SVD,NO.B4041,ZZ,34.05806,-117.64694,50.928280773836725,1.182100436474175e-11,1.182100436474175e-11,2.6674968815381457e-12,8.110401179985944,7.042781929084813,2.381064905520892,1.5968288032537376e-10,1.3718263205341917e-10,8.172850012023865e-11
SVD,NO.B4042,ZZ,34.05611,-117.64667,50.92734821189658,8.59276618443468e-12,8.59276618443468e-12,2.3589974081669013e-12,6.7726965319482,6.111570322654385,2.20051999829651,1.3900161795633094e-10,1.1491329936817391e-10,7.820731054574266e-11
SVD,NO.B4043,ZZ,34.05139,-117.6475,51.064882359678606,1.2850024957229577e-11,1.2850024957229577e-11,1.932377124642165e-12,9.09597957534975,7.645095731079097,1.9779912206690908,1.5477494680560066e-10,1.373962541180356e-10,7.125695413788537e-11
SVD,NO.B4044,ZZ,34.04944,-117.64722,51.066144177125054,1.3122303069982354e-11,1.3122303069982354e-11,3.4463105738263733e-12,9.459910450149923,7.646092348892857,4.301489988117953,1.5197392148512584e-10,1.40289273673835e-10,5.843793719524178e-11
SVD,NO.B4046,ZZ,34.04389,-117.64694,51.12208555198976,1.5496157242652033e-11,1.5496157242652033e-11,2.9309185089251505e-12,10.193193301705515,8.339846580900103,3.1287167584782014,1.6655549383404023e-10,1.5189789378638086e-10,6.832102450609451e-11
SVD,NO.B4047,ZZ,34.04222,-117.6475,51.19924609318663,1.1730480579114433e-11,1.1730480579114433e-11,3.916047401959665e-12,8.694320331757964,7.088172092364752,4.797279044200648,1.4781827655315328e-10,1.3530126429372423e-10,5.952991486357329e-11
SVD,NO.B4048,ZZ,34.03972,-117.64722,51.21374509484577,1.1884641612085552e-11,1.1884641612085552e-11,2.205045247708124e-12,9.704396389508279,8.008027978464005,2.8075174487503314,1.341730326593244e-10,1.2133337706430522e-10,5.7276647101338464e-11
SVD,NO.B4049,ZZ,34.03667,-117.6475,51.29019624538289,9.40824853295501e-12,9.40824853295501e-12,2.273147256487664e-12,9.490403739571809,7.903243328881451,3.4393047585052963,1.0860994207458687e-10,9.733180949728628e-11,4.81937586978759e-11
SVD,NO.B4050,ZZ,34.03361,-117.64722,51.317905650084725,3.734272331232468e-12,3.734272331232468e-12,2.353397991425838e-12,4.298139915783938,4.023777930935901,2.986071788627741,9.518543845306612e-11,7.58791990220898e-11,5.746838130022913e-11
SVD,NO.B4051,ZZ,34.02833,-117.64778,51.465898118553234,2.2705761333544664e-12,2.2705761333544664e-12,2.0385190760504175e-12,2.1072600894774003,2.1013602096995694,1.8984425612757763,1.1804917121607732e-10,8.835912790922019e-11,7.828327624674891e-11
SVD,NO.B4052,ZZ,34.02806,-117.64667,51.370040266017305,3.5956692503731886e-12,3.5956692503731886e-12,2.804448314749941e-12,2.9695129460598073,2.912105328724283,2.376104951023622,1.3265983353076348e-10,1.0096151401619043e-10,8.605465774708803e-11
SVD,NO.B4053,ZZ,34.02611,-117.6475,51.48313543855194,7.87227715070183e-12,7.87227715070183e-12,2.8977552035347843e-12,8.282583829417005,7.1068845837362655,4.112922598255097,1.0413110697561356e-10,9.058095883386445e-11,5.136513736674347e-11
SVD,NO.B4054,ZZ,34.02278,-117.6475,51.5493473452858,1.1805460645180966e-11,1.1805460645180966e-11,3.0138313997558386e-12,9.939908615466523,8.32954654250195,3.715274190470838,1.3012103959118177e-10,1.1590777015830402e-10,5.913437038829163e-11
SVD,NO.B4055,ZZ,34.02361,-117.6475,51.53260433351618,1.4217657153785806e-11,1.4217657153785806e-11,3.084077002498179e-12,9.171463423529431,7.680098045710753,2.9208292993217877,1.6983846640941331e-10,1.5139507266794239e-10,7.697166130576795e-11
SVD,NO.B4056,ZZ,34.0175,-117.64583,51.508249783179174,1.7812228614415304e-11,1.7812228614415304e-11,5.345028319276206e-12,10.660760226343639,8.890728604121549,4.773240800351201,1.8305254122512244e-10,1.638439675898117e-10,8.162957266459182e-11
SVD,NO.B4057,ZZ,34.01694,-117.65056,51.94889153894544,1.5050560343848188e-11,1.5050560343848188e-11,9.496761238912763e-12,3.8021192054533053,3.6799275843099575,2.507997215631869,4.336824957392106e-10,3.346235604343325e-10,2.7587602272187605e-10
SVD,NO.B4058,ZZ,34.01194,-117.64917,51.933538828859014,1.6001548016948128e-11,1.6001548016948128e-11,7.590900633792166e-12,5.120264999885004,4.695868597470033,2.782619330661232,3.423847950825744e-10,2.7877836159916897e-10,1.9877115738411217e-10
